Iteration,AIC,R^2,Moran's I,Age Coefficient,Age Z-Stat,Age Probability,Bedrooms Coefficient,Bedrooms Z-Stat,Bedrooms Probability,Building Square Feet Coefficient,Building Square Feet Z-Stat,Building Square Feet Probability,Estimate (Building) Coefficient,Estimate (Building) Z-Stat,Estimate (Building) Probability,Estimate (Land) Coefficient,Estimate (Land) Z-Stat,Estimate (Land) Probability,Fireplaces Coefficient,Fireplaces Z-Stat,Fireplaces Probability,Full Baths Coefficient,Full Baths Z-Stat,Full Baths Probability,Garage 1 Area Coefficient,Garage 1 Area Z-Stat,Garage 1 Area Probability,Garage 2 Area Coefficient,Garage 2 Area Z-Stat,Garage 2 Area Probability,Half Baths Coefficient,Half Baths Z-Stat,Half Baths Probability,Land Square Feet Coefficient,Land Square Feet Z-Stat,Land Square Feet Probability,Rooms Coefficient,Rooms Z-Stat,Rooms Probability,Sale Quarter Coefficient,Sale Quarter Z-Stat,Sale Quarter Probability
0,23035.704192141577,0.7594686857857412,0.041612448447524486,-1.4139730684842715,-36.841788882647855,3.958673784057179e-297,-0.09676233325518316,-19.992527662424852,6.397170351580927e-89,0.029944679012603143,3.7862680784846257,0.00015292669142652577,0.14868735295605456,16.676729708898442,1.9352747579444895e-62,0.13735713380923953,20.44190537221787,7.091584251605747e-93,0.10926474033307007,16.826012776284426,1.573478834538543e-63,0.0016621929394078833,0.35107365240677574,0.725533093774101,0.010956006222359059,1.6181433635774298,0.1056317051305175,0.040647544777746264,10.04297619298954,9.865184883888332e-24,-0.004461397552625376,-1.2000234741966416,0.23013022384854143,0.012873655462618386,2.894861131999735,0.003793263021581099,0.013916752971159893,2.8354424363696813,0.004576226113914391,-0.013868557442857785,-1.5595402675146375,0.11886856164681357
1,23401.725704492696,0.7507012595144624,0.04079698323448043,-1.4019559876199863,-36.054109139613665,1.1890961416116589e-284,-0.11055099032389018,-22.21405454613129,2.5121340080118384e-109,0.026977956418576796,3.353314828079304,0.0007984982354261886,0.1403505739911154,15.28330168967654,9.880529950126075e-53,0.1194774676007696,17.459004903110813,2.940145689656056e-68,0.11284170047968606,17.029916341679023,4.927461641743947e-65,0.009246143238777066,1.8873890042129347,0.05910802298710877,0.008123961073575114,1.178416494983804,0.23863060491101373,0.04493871189647845,10.889585656127773,1.2922686089501347e-27,0.003109361781854111,0.8973172789354038,0.369549638887794,0.004114737544665431,0.9104038303827298,0.3626095784304507,0.010390960039449226,2.0859644313881724,0.03698184509100013,-0.00042001613520892267,-0.04532137403143503,0.9638511509276974
2,23355.397552302293,0.7569264394658927,0.041033736264911476,-1.4124863944283768,-36.58245634513707,5.43723219023407e-293,-0.10453187517334883,-21.41219499569766,1.0285250753965676e-101,0.015032042047263564,1.8854245406985808,0.0593725433592118,0.13038535832706455,14.414356160630128,4.203406387906759e-47,0.1550723817401184,22.554738865965327,1.20648967603404e-112,0.10236464429597897,15.808265406515126,2.7287701849556034e-56,0.013690055921435093,2.822373199843765,0.004766966859464367,-0.003010937814652605,-0.4390376455483311,0.6606342590351157,0.042870780678642084,10.626030342895525,2.2550802703846788e-26,-0.004303343377830808,-1.135912940284888,0.25599300201767106,0.007770556363878196,1.718012554454634,0.08579432536829419,0.009334223541789213,1.8942023146231484,0.05819816101726983,0.021023636577318407,2.3351025061258026,0.0195380664423003
3,23384.38064811044,0.7534047509285617,0.03957725871382337,-1.4368322594439726,-37.108781125444665,2.0277459985283257e-301,-0.0929722525903306,-18.86629501141335,2.159162137973641e-79,0.013113982023883634,1.632059736619627,0.10266690260542247,0.1332395142578737,14.39746135059836,5.3679284120814395e-47,0.13783043452363486,20.56752624813881,5.363280610055165e-94,0.10388074410618636,16.106946706669305,2.280076947638515e-58,0.006701598501559795,1.378522466262183,0.16804203635265946,0.004212420134770649,0.6137750145000891,0.5393640100776591,0.04464432248343596,10.857831347622225,1.8304452362776414e-27,-0.004455698192520404,-1.1653000484828802,0.24389755950313707,0.01140112727715472,2.498823110444492,0.01246064914389536,0.009762592059319453,1.9368321965753226,0.05276585884943221,0.016743039813362733,1.817238385787422,0.06918061970973823
4,23345.984971934253,0.7538647005184318,0.04135747358596121,-1.3698342052619008,-35.30555587162709,4.825721878704798e-273,-0.09982979411129414,-20.251267448206555,3.4621661201945714e-91,0.02059871302777266,2.570810493625719,0.010146083009003739,0.14891506209534494,16.44155187053936,9.641801125027346e-61,0.11059459778806835,16.63401337370524,3.952120605286194e-62,0.11683689430701744,17.692212913689065,4.8146918841765196e-70,0.004223183144133438,0.8752692361162825,0.3814274288987314,0.013433049179553562,1.960753906734968,0.04990773733379225,0.044664024305340846,10.833756757273534,2.381786348156437e-27,-0.0016001595742229761,-0.4222346013763744,0.6728537879183116,0.012360040223577309,2.7158606742392886,0.006610373010683614,0.011235148293432737,2.29160143026194,0.021928652878810278,-0.009486395810363603,-1.0366962999666731,0.2998774169357331
5,23447.10510481617,0.74939041081606,0.03588521334477069,-1.4465075799960412,-37.33772539233316,4.011130131184875e-305,-0.0961758416437681,-19.430660893874055,4.24856575822443e-84,0.030254942633241147,3.789595481964077,0.00015089280438222504,0.12866616787391744,14.12755395309913,2.5691403410379994e-45,0.1521968823152507,22.09576726259961,3.471231064938546e-108,0.11893930955452511,18.060888143101526,6.477204131897395e-73,0.002401024564003964,0.4910983040961136,0.6233569209309293,0.009911748007592121,1.4515174491101588,0.1466358269992759,0.0446016926263116,10.871091578617195,1.5829549277298695e-27,0.0009168257575971209,0.2520121605526642,0.8010316643394773,0.001371417457673503,0.2975229297058056,0.7660673047638504,0.0065314759658321175,1.3318732384877339,0.1829018463123787,-0.009008772913347882,-0.9849333124578401,0.3246568289619841
6,23071.822825357707,0.7614905398268218,0.039246020375072806,-1.5162496804343935,-39.49455709640583,0.0,-0.09716155102082011,-19.895476602040713,4.45353981344368e-88,0.03687082648151299,4.701842880990649,2.578238644993539e-06,0.15810230988673052,17.426228127702963,5.217606776763886e-68,0.12548696697554979,18.897403036543903,1.1980614816805784e-79,0.11105980576270374,17.303799888675947,4.403616446317327e-67,0.008940261356150716,1.8597617498302363,0.06291924125252189,-0.0010559357611662355,-0.15473507440037634,0.8770301776244024,0.048634835931623155,11.911533569151299,1.0306406431046658e-32,-0.0057624048901201985,-1.444458992271689,0.1486099069257548,0.014119218153023347,3.0805605719762044,0.002066113249283943,0.0066651425136045606,1.3730927130410633,0.16972352612191322,-0.019674297858945727,-2.1859899939879748,0.0288163373884824
7,22817.53228866828,0.7583815717713178,0.04234879061109251,-1.507283059107325,-39.53914894852254,0.0,-0.0988810185341687,-20.375990454269825,2.7313395951493507e-92,0.025090630653033894,3.179085001605655,0.0014774075908881345,0.14166442350292185,15.725591367099975,1.0100337559885068e-55,0.13334298475910722,19.77887365091319,4.526892984681509e-87,0.10934417798672735,17.06072466522842,2.909237510683939e-65,0.01398003618861384,2.954070135154429,0.0031361272385394988,0.0027698768574727084,0.40884716804632737,0.682651822488604,0.03071040876873062,7.6440330682429165,2.10521302923918e-14,0.00048031015217738925,0.11936528516211935,0.9049859630483135,0.008229745337587694,1.8723278942474915,0.061161253933462355,0.009449741631591721,1.9283648675999765,0.05380975851812233,-0.0020172759000968085,-0.22615964891022475,0.821077253047071
8,23193.718479821004,0.7540560492729842,0.041394191363186186,-1.468870059189578,-37.81336088570331,0.0,-0.10431179424646882,-21.246882981530753,3.522906935905011e-100,0.02776192642150766,3.490173832886886,0.00048270644914300817,0.1346631046221408,14.54604943921962,6.187461666510092e-48,0.1346099180007641,19.966474994398908,1.0779784694962987e-88,0.11229183285003777,17.201462051729887,2.589152241126043e-66,0.017526710879404037,3.638616252239807,0.00027410688926044185,0.0005465507521098187,0.08090784891423976,0.9355152379015034,0.05296513302996906,12.953679872698398,2.2395565644364883e-38,-0.005358222039937234,-1.4163092774836117,0.1566849727185116,0.005278095389489701,1.1687035793284295,0.24252307935993866,0.0005686218914394553,0.11438214898092774,0.9089348641655817,0.00345770362792917,0.3759773858878706,0.7069337081219091
9,23485.466143843583,0.7526818219299573,0.04094540008587883,-1.5212631438013888,-39.215199051190616,0.0,-0.09040617547088611,-18.128366484525806,1.9032953134183615e-73,0.004842060953776178,0.6089691230211284,0.5425449053781701,0.15325636933684195,17.001708619162198,7.976085645469648e-65,0.13513836659687856,19.922084386807455,2.6186027460185623e-88,0.10308645044588835,15.919092257715418,4.671044774965921e-57,0.005436177868016798,1.1159609195013094,0.26443886331017497,0.012240910648559348,1.7612516221096741,0.07819582426282164,0.04461205534674756,10.87100122607918,1.5845234674714283e-27,-0.005036949108740965,-1.429520668331139,0.15285463877954064,0.017014712387545636,3.7973910876989057,0.00014622699001115225,0.010488012080714634,2.1052585901832717,0.0352688046153109,-0.0010050947198849934,-0.11074728084843145,0.9118167518616493
10,23802.136344174774,0.7529767767266253,0.04213288957409738,-1.424225933012564,-36.16266718589697,2.3525638387808053e-286,-0.09976021804725702,-20.115575661630242,5.39096403602684e-90,0.01831946720219419,2.2624817005518887,0.02366765819416377,0.1584251439836956,17.297823829785084,4.8849543659603726e-67,0.13057892968148077,19.49762385181965,1.150023652385668e-84,0.10927831684194972,16.606482303394337,6.255557101739606e-62,-0.0016151300838882828,-0.33000357766622784,0.7413972588308462,0.0014040261052393026,0.2022738519007632,0.8397026406161103,0.03530303272955066,8.544928381134381,1.2861601044930207e-17,-0.001234521440224505,-0.323971667281477,0.7459594846140025,0.010779580664999726,2.363165845228903,0.018119558909405045,0.010117941115213372,1.9931036046934876,0.04625010337118686,-0.007188918383510219,-0.7811317011828061,0.43472503853219047
11,23718.52232236819,0.7551603401909542,0.03863776757574147,-1.503131699285612,-38.456008809425946,0.0,-0.0956627720723639,-19.5074858366291,9.483283821692437e-85,0.00630299941715538,0.7762930160042505,0.43757599579953643,0.143207924245968,15.390852800039719,1.8853101403010413e-53,0.13509350737913384,19.70540341737474,1.9379154896714265e-86,0.10574713283459072,16.31355190286381,7.905884392069206e-60,0.0012138511888796395,0.2470727118222051,0.8048519519568481,0.01495155123021144,2.164614532825127,0.030417217125518325,0.03917829339624122,9.496074671020473,2.179514926709445e-21,0.0032457031520818735,0.8715350834804912,0.3834620584522942,0.006689812591273676,1.4755699116476348,0.14005938739982315,0.01691011316913249,3.378385112193343,0.0007291289196112642,0.00028214666714410086,0.03051511625165661,0.9756562379698783
12,23400.507918483945,0.75616134447157,0.043238710940610575,-1.4647530162684763,-37.60399458857238,1.84962266344124e-309,-0.09234806787996283,-18.652353081266178,1.2083995858925482e-77,0.030822537389984084,3.8473551744576437,0.00011939981472803722,0.15688632123133425,17.45005208168372,3.4391901441948552e-68,0.11974037857813563,17.68283855352194,5.68600533881696e-70,0.10423116307138128,15.981239367260203,1.7267823716515954e-57,0.004217596737460224,0.8799606424099384,0.37888063102897696,0.00046746029843446404,0.06789499959605892,0.945869219313921,0.03653621196524444,8.905677843190958,5.306081430779085e-19,-0.0022973328273378814,-0.5630820652710672,0.5733790034134856,0.008931258554226334,1.9755705007485767,0.04820344244135633,0.011865246975082192,2.375161120266671,0.017541291386962816,-0.009028371488645263,-0.9795164002561151,0.32732488923446457
13,23666.92445479752,0.74967354017764,0.03613829920164594,-1.4571511733528775,-37.1737126266544,1.8150759282838265e-302,-0.0946050064137117,-19.078707873934647,3.7952584506111163e-81,0.02271269685774622,2.795286321448538,0.005185376784477333,0.12300337179536071,13.330616032658899,1.5362384659743974e-40,0.14530579412597688,21.201485881647756,9.252857696785582e-100,0.09918917192904994,15.012092645695539,6.118643538497608e-51,0.005368129524898815,1.0942688965941236,0.27383706245342165,0.018223858752596685,2.595287032238673,0.009451195410281742,0.03822253652880955,9.34139516655317,9.507295991744584e-21,-0.006149738053328366,-1.5551796081111278,0.11990329945995863,0.010386429857338748,2.2930728338355775,0.021843812100465345,0.00966308298527177,1.9234757279651624,0.054420331891553646,-0.0009005950619144741,-0.09818005947677134,0.9217893161880757
14,23418.01500241054,0.7586287411596078,0.04043575935066135,-1.4337321369849838,-36.525227298844925,4.411389992646494e-292,-0.09914734592814528,-19.96716950056195,1.0630964275277471e-88,0.02704731374632101,3.381443313893395,0.0007210610859068431,0.1433582941490788,15.791396718801378,3.5659578693524423e-56,0.1522635699999068,21.96738529376075,5.907275819069105e-107,0.10829303256034123,16.51751939345627,2.744563241391433e-61,-0.002518423948255137,-0.523457294112076,0.6006560624203565,0.0017794142476520707,0.25727770281498547,0.7969644038253306,0.035934654348306554,8.80134484431394,1.3518624876399308e-18,-0.00392086764223201,-1.1118532142593074,0.2662012674705272,0.00827972632499362,1.827135369606311,0.06767941840916301,0.010619459128410488,2.1460030179511427,0.031872737916367536,-0.009481285633239044,-1.0331578012041143,0.3015300573223978
15,23401.018835452887,0.7560519953714336,0.03792509584134868,-1.4510549350713025,-37.40311005040754,3.4780055007552887e-306,-0.09323028190516358,-18.950257347924623,4.3942913525066186e-80,0.03380637122259226,4.272601305486388,1.932057287174408e-05,0.14302882965939173,15.547777802234775,1.6472278744888213e-54,0.14296257750645325,20.546843656241457,8.213286133431167e-94,0.10740336441444676,16.50288609884416,3.4976822822423856e-61,0.00948250376592569,1.9578021434908512,0.050253233818530404,0.017548136942987888,2.547117779640957,0.010861676701939818,0.03986283848315833,9.79697788464781,1.1600446811230186e-22,-0.0015910678717092415,-0.4355990236263727,0.6631276793118612,0.007821860019058356,1.729384993884976,0.08374021391453715,0.010518414720536606,2.1293427565515697,0.033225912763925815,-0.02082928432905093,-2.2876516110819294,0.022157817744640575
16,23290.79454895933,0.756886813942997,0.040742607294961174,-1.425204323474933,-36.80761803737254,1.3945639511420825e-296,-0.09816019855871293,-19.806633867183937,2.609579846150889e-87,0.026923235581801756,3.3294565444480573,0.0008701564157585528,0.1210647505823031,13.216214159706661,7.073561987297348e-40,0.13201471916410396,19.366016795219316,1.493764541633595e-83,0.10907676722941931,16.667452946593485,2.260226048418536e-62,0.010469083914310279,2.176177865596431,0.029541963333850327,0.007127806408824489,1.0218419838921458,0.3068556949106189,0.034931123941816966,8.607953618690729,7.437633686243382e-18,-0.0062358461664742855,-1.2661494683774446,0.2054595748051532,0.01087163003369803,2.36175368733097,0.018188722542550387,0.012407721642974087,2.4695640357115383,0.013527780433932223,0.01065982809200225,1.1788922757581621,0.23844107388040703
17,23421.821885624926,0.7541543123033047,0.04283740046631428,-1.4130564147335858,-36.485240390217044,1.9010947891568184e-291,-0.10183397166874536,-20.723062639271955,2.1459181578334685e-95,0.035947172675703125,4.4748046605597,7.648120200037507e-06,0.1535231607482903,16.887812118622275,5.531655956615679e-64,0.10811780967617635,16.2227904013647,3.4801785547729217e-59,0.11202160982495576,17.241141551778437,1.3043554931779088e-66,0.011021616969893809,2.28943475060934,0.022054104986961212,0.0026009537594328825,0.3802328358399274,0.7037725869485768,0.04731493634289033,11.558339993661038,6.69912844608595e-31,-0.0036741974876434392,-0.9778246025691643,0.32816108071437344,0.015707066822507294,3.521107945757597,0.00042974763478649314,0.007551494675235221,1.5604742940235077,0.11864784005068298,-0.011152378753096461,-1.2135281914835916,0.22492794269636607
18,23304.856163808603,0.761901161663654,0.04017247406751666,-1.464222886250269,-38.01575656296589,0.0,-0.09304780912749165,-19.140897028540742,1.1526842196502546e-81,0.02998157765764345,3.731840085148316,0.0001900861634489785,0.14042238926668085,15.204828873593842,3.2848801900987405e-52,0.1543655610851108,22.036885147772665,1.2762087034870505e-107,0.10595424471083983,16.485613804757744,4.655427253836354e-61,-0.003066148855344659,-0.6338063527918104,0.5262072067609072,0.0034627716379294175,0.5020821560250324,0.6156097315304588,0.04128787863869531,10.07798008776642,6.913266148651568e-24,-0.002539185400491235,-0.522475392743201,0.6013393751178877,0.013146970274569889,2.905231123250236,0.0036698200184511936,0.014677040255462015,2.961777366277985,0.003058688616893829,-0.012357772527348182,-1.3508499592580632,0.17674350067885813
19,23290.74927061325,0.7608440794664171,0.040435659566266734,-1.3713769025965283,-35.46333103550569,1.8074054412377774e-275,-0.09604554436632182,-19.570654397292138,2.7512613936435144e-85,0.03394446799399461,4.244079472926666,2.194925596960192e-05,0.13321767505233145,14.361350387172171,9.044744201265587e-47,0.1439902711917334,20.519890038003883,1.4303555666647652e-93,0.10239280873837647,15.719442508216792,1.1129868687678598e-55,0.011654605914270174,2.4139440598516164,0.015780885007365,0.0021254779427724753,0.30874039336982306,0.7575190144156186,0.04131534506817986,10.105389883244746,5.2287173022244785e-24,-0.01109868632806266,-2.624491008792308,0.008677858375695636,0.01312310770724932,2.8913694106324073,0.003835669643479981,0.00990862406610013,1.9955554752299123,0.045982330069679514,-0.002438908441635388,-0.26558252603969923,0.7905607446374752
20,23129.162019972187,0.7630103659247904,0.04450425900720434,-1.507156981618341,-39.21033938513679,0.0,-0.09796375463698778,-20.055599391725146,1.8035720403231153e-89,0.02547272347109042,3.155351762155358,0.0016030470418496995,0.1540777286602648,16.923901311293964,2.9989087342713726e-64,0.12812089587506775,18.563443101121933,6.3501317170904315e-77,0.10301722910154767,15.613322248979305,5.9078826919775344e-55,0.001778471505442811,0.3738812082877655,0.7084926978430983,0.0030801133541227344,0.4483188955796855,0.6539230655609969,0.04878512277902954,11.9230376451912,8.977452333893631e-33,-0.00538713362034997,-1.5621695618265776,0.11824804911828851,0.00557722674261287,1.255069285367094,0.2094536092489434,0.009180167863322652,1.8302435658631886,0.06721352593682281,-0.002588732424027256,-0.2826110726209807,0.7774749914991889
21,23062.419652588873,0.759195972984703,0.035510960064437234,-1.4727995188784306,-38.405154885836424,0.0,-0.0905404941055826,-18.58065857791547,4.608153284408997e-77,0.021046099891263416,2.6219267353351228,0.008743422478339095,0.15222102997841985,16.53007428064783,2.228688300430582e-61,0.15100819929602688,22.209277954167614,2.7939122298744625e-109,0.09398538813589938,14.79327373569692,1.6188454778521916e-49,-0.0021599412821500883,-0.45168087207124547,0.6514989000000074,0.004150833214732259,0.609674784279974,0.5420772613739445,0.045383718199777046,11.168886057270143,5.790246180912181e-29,-0.0021614963884767,-0.6311011306889668,0.5279744018847536,0.01010085939121515,2.3042763728577906,0.021207134390794607,0.015646449361860992,3.195068377856942,0.0013979771497428348,-0.01429559801766947,-1.5745274969508731,0.11536554973867458
22,23518.806387806995,0.7547996641004343,0.04067017944793691,-1.4276490537065998,-36.923377056835704,1.9485834819570896e-298,-0.09585551118443364,-19.53206291358638,5.862282844351485e-85,0.01797460917890282,2.199001336111423,0.02787782729760218,0.15515609847232212,16.86145145054627,8.643997519395573e-64,0.1351852649340059,19.96800030720634,1.045562694406035e-88,0.10420664895891532,16.24066232284754,2.6010068425223308e-59,0.0007436740291953629,0.1539963701775587,0.877612597625084,-0.0017579486002974,-0.2521078719163672,0.8009576855402303,0.03714887350272027,9.129986853568607,6.850761340653183e-20,0.0012472245948060897,0.26581967296770814,0.7903780913034889,0.01159779011344128,2.564401862743257,0.010335380236283234,0.009637500637479535,1.9327490969631431,0.053267113781193476,-0.003801329249693529,-0.41098447488080997,0.6810839187222117
